Name	Birthdate	Sex	Profession	Lang
MEHMET ERSOY	1964	M	BUREAUCRAT	1
HİLMİ BİLGİN	1972	M	LAWYER	1
MESUDE NURSUNA MEMECAN	1957	W	ENGINEER	1
MALİK ECDER ÖZDEMİR	1954	M	ENGINEER	1
ALİ TURAN	1959	M	BUSINESSMAN	1
İSMET YILMAZ	1961	M	ENGINEER	1
YAHYA AKMAN	1966	M	LAWYER	2
MEHMET AKYÜREK	1950	M	BUSINESSMAN	2
İBRAHİM AYHAN	1968	M	ENGINEER	2
İBRAHİM BİNİCİ	1962	M	ADMINISTRATOR	1
FARUK ÇELİK	1956	M	TEACHER	0
SEYİT EYYÜPOĞLU	1942	M	FARMER	1
ABDULKERİM GÖK	1970	M	ACADEMICIAN	1
MEHMET KASIM GÜLPINAR	1969	M	BUREAUCRAT	4
MAHMUT KAÇAR	1975	M	ENGINEER	2
ABDULKADİR EMİN ÖNEN	1976	M	BUSINESSMAN	2
HALİL ÖZCAN	1964	M	ACADEMICIAN	2
ZEYNEP ARMAĞAN USLU	1969	W	ACADEMICIAN	1
MEHMET EMİN DÜNDAR	1959	M	DOCTOR	4
SELMA IRMAK	1971	W		1
HASİP KAPLAN	1954	M	LAWYER	3
FAYSAL SARIYILDIZ	1975	M	ENGINEER	2
TEVFİK ZİYAEDDİN AKBULUT	1949	M	BUREAUCRAT	1
BüLENT BELEN	1956	M	ACCOUNTANT	0
EMRE KÖPRÜLÜ	1981	M	LAWYER	1
FAİK ÖZTRAK	1954	M	ECONOMIST	2
ÖZLEM YEMİŞÇİ	1971	W	BUSINESSWOMAN	1
CANDAN YÜCEER	1973	W	DOCTOR	1
ZEYİD ASLAN	1965	M	LAWYER	1
ŞÜKRÜ AYALAN	1963	M	DOCTOR	2
REŞAT DOĞRU	1955	M	DOCTOR	1
ORHAN DÜZGÜN	1967	M	DOCTOR	2
DİLEK YÜKSEL	1977	W	ECONOMIST	1
KORAY AYDIN	1955	M	ENGINEER	0
ERDOĞAN BAYRAKTAR	1948	M	ENGINEER	1
AYDIN BIYIKLIOĞLU	1954	M	ENGINEER	2
MEHMET VOLKAN CANALİOĞLU	1950	M	TEACHER	1
FARUK NAFİZ ÖZAK	1946	M	ENGINEER	1
SAFİYE SEYMENOĞLU	1964	W	ARCHITECT	1
HÜSEYÜN AYGÜN	1970	M	LAWYER	1
KAMER GENÇ	1940	M	AUDITOR	1
DİLEK AKAGÜN YILMAZ	1963	W	LAWYER	1
MEHMET ALTAY	1972	M	LAWYER	1
İSMAİL GÜNEŞ	1967	M	DOCTOR	1
KEMAL AKTAŞ	1958	M		1
MUSTAFA BİLİCİ	1969	M	ACCOUNTANT	4
FATİH ÇİFTCİ	1971	M	PROSECUTOR	1
NAZMİ GÜR	1965	M	LAWYER	2
BURHAN KAYATÜRK	1970	M	ENGINEER	5
GÜLŞEN ORHAN	1970	W	ARCHAEOLOGIST	3
AYSEL TUĞLUK	1965	W	LAWYER	0
ÖZDAL ÜÇER	1974	M	TEACHER	2
TEMEL COŞKUN	1956	M	TEACHER	2
MUHARREM İNCE	1964	M	TEACHER	0
YUSUF BAŞER	1965	M	LAWYER	2
BEKİR BOZDAĞ	1965	M	LAWYER	2
SADİR DURMAZ	1963	M	ECONOMIST	1
ERTUĞRUL SOYSAL	1963	M	DOCTOR	1
ERCAN CANDAN	1967	M	ACADEMICIAN	1
MEHMET HABERAL	1944	M	DOCTOR	2
ALİ İHSAN KÖKTÜRK	1963	M	LAWYER	0
KÖKSAL TOPTAN	1943	M	LAWYER	0
Özcan ULUPINAR	1970	M	ECONOMIST	1
